Title,Release Year,Genre,Rating,Summary
Super Mario Bros. Special,1986,"Action, Adventure",5.9,Add a Plot
I Am a Teacher: Super Mario No Sweater,1986,Family,3.6,Add a Plot
All Night Nippon Super Mario Bros.,1986,"Action, Adventure, Comedy",6.5,Mario and Luigi get high on mushrooms and then they start to think everything is a black guy with sunglasses.
Supa Chainizu,1986,Action,0,Add a Plot
Squish,1986,NA,0,Add a Plot
Super Mario Bros.,1986,Action,7.7,A Game and Watch version of Super Mario Bros.
Climber,1986,NA,0,Add a Plot
Balloon Fight,1986,"Action, Sport",5.6,Add a Plot
VS. Super Mario Bros.,1986,"Action, Adventure, Fantasy",7.3,"Play as Mario and Luigi to save the princess in this challenging VS. edition of the classic ""Super Mario Bros."" with more enemies, fewer warps, and new levels."
Ace of Aces,1986,"Action, War",6.6,Add a Plot
Touchdown Football,1986,Sport,0,Add a Plot
Painterboy,1986,Action,0,Add a Plot
Turbo Esprit,1986,Sport,0,Add a Plot
Doragon daihikyô,1986,"Action, Adventure",0,Add a Plot
Dragon Power,1986,"Action, Adventure",6.2,Gather the seven Dragon Balls on your fantastic adventure.
Death Wish 3,1986,"Action, Crime",7.2,"In a tie-in computer game for Death Wish 3 (1985), Charles Bronson's vigilante Paul Kersey must eliminate vicious gang, rioting on the streets of New York."
Gremlins,1986,Action,4.8,This is the Atari 5200 version of the game.
Warship,1986,War,0,Add a Plot
Kingu Kongu Tsû: Ikari no Megaton Panchi,1986,"Action, Adventure",0,Add a Plot
War Hawk,1986,"Action, Sci-Fi",0,Add a Plot
War-Copter,1986,Action,0,Add a Plot
A Ticket to Ride,1986,"Adventure, Sci-Fi",0,Add a Plot
They $tole a Million,1986,Crime,0,Add a Plot
Mappy-Land,1986,NA,5.6,"Mappy must travel through various themed areas, collecting six target items in each one, while attempting to avoid Goro and his gang of Meowkies."
The Sentry,1986,NA,7.2,Add a Plot
The King of Chicago,1986,"Adventure, Crime",0,In 1930s Chicago the arrest of Al Capone lead to a vacuum in the city's underworld that several gangs try to fill. You are a member of one of these criminal organizations. Since you are                 
Destroyer,1986,War,0,"Hybrid game between a simulation and an action-game. You are the captain of a U.S. Navy destroyer in World War II send on missions against the Japanese. You encounter enemy ships, submarines, fighter-planes."
Zombi,1986,"Action, Adventure, Horror",6.9,Add a Plot
High Roller,1986,NA,0,Add a Plot
James Clavell's Shogun,1986,"Action, Adventure",0,"Based on Shogun (1980), play as Blackthorne, Ishido, Zen Master Ikematu, a samurai warrior, a peasant or 40 other characters and use intelligence, cunning, politics and combat to become the next shogun."
Infiltrator,1986,Action,0,Add a Plot
Peter Shilton's Handball Maradona!,1986,Sport,0,Soccer-game that instead of giving you control over a complete soccer-team simulates the work of a goalkeeper instead.
Might and Magic: Book One - Secret of the Inner Sanctum,1986,"Adventure, Fantasy, Sci-Fi",5.7,Add a Plot
The Mysterious Murasame Castle,1986,"Action, Fantasy, Sci-Fi",6.7,"In feudal Japan, an evil alien descends upon Murasame castle and takes over a giant statue, which then continues to spread its influence over four neighbouring castles. The samurai                 "
The Official America's Cup Sailing Simulation,1986,Action,0,Add a Plot
The Chessmaster 2000,1986,Sport,0,Add a Plot
Aliens: The Computer Game,1986,"Action, Sci-Fi",7,Add a Plot
The 3-D Battles of World Runner,1987,"Action, Sci-Fi",6.1,Add a Plot
Zelda II: The Adventure of Link,1987,"Action, Adventure, Fantasy",7.2,"A direct sequel to the original Legend of Zelda, it follows Link as he is on a quest to break the sleeping curse placed upon Princess Zelda."
Double Dribble,1987,Sport,6.5,Double Dribble is a basketball arcade game developed and released by Konami.
The Goonies II,1987,"Action, Adventure",6.9,"Mikey's friends, the Goonies, have been kidnapped by the Fratellis, an Italian family of small-time crooks and counterfeiters. Mikey must rescue all six of his friends and free a captured mermaid named Annie."
Gotcha! The Sport!,1987,NA,5.9,Add a Plot
Jaws,1987,"Horror, Thriller",5.3,"Loosely based on Jaws (1975) and its sequels, the player must defeat various sharks, jellyfish and manta rays."
The Karate Kid,1987,Sport,5.7,"After Daniel LaRusso's victory at the All Valley Karate Tournament, the fresh champion flies off to Okinawa to put to the test his rigorous training, using his lethal bare hands as a weapon. Can he become a martial arts master?"
Karnov,1987,"Action, Fantasy",6,A circus performer uses his fire-eating abilities against the forces of evil.
Mega Man,1987,"Action, Adventure, Sci-Fi",7.4,A lab assistant robot volunteers to be enhanced for fighting to stop a mad scientist from world domination.
Mighty Bomb Jack,1987,"Action, Fantasy",5.6,Add a Plot
Mike Tyson's Punch-Out!!,1987,Sport,8.2,"Little Mac, a 17-year-old fighter from the Bronx, ranked number three in the minor circuit, works his way up through the rankings so that he can challenge Mike Tyson, Kid Dynamite, in a dream fight."
Rad Racer,1987,Sport,6.8,An arcade style 3-D car racing game.
Rygar,1987,"Action, Adventure, Fantasy",7.1,"The evil being Ligar has taken over the land of Argool, and Rygar, a dead warrior who has risen from his grave, must use his Diskarmor, along with a variety of other weapons, to stop him."
Side Pocket,1987,Sport,6,Side Pocket is a billiards video game released by Data East.
Solomon's Key,1987,Fantasy,6.2,Add a Plot
Stinger,1987,NA,6,Add a Plot
Super Pitfall,1987,Action,4.3,Add a Plot
Yume Koujou: Doki Doki Panic,1987,"Action, Adventure, Family",7.7,A family jumps inside a book to rescue two kidnapped children. This is the original Japanese version that became known as Super Mario Bros 2 in the USA.
Contra,1987,"Action, Adventure, Sci-Fi",8.3,"A terrorist organization named Red Falcon declares war on humanity and tries to take over the Earth. Two soldiers, Bill Rizer and Lance Bean, are sent to stop the Earth's destruction."
Final Fantasy,1987,"Adventure, Fantasy",7.7,"The four ""Light Warriors"" must fulfill a 2000 year old prophecy, traversing the land in order to restore light to the four elemental orbs and defeat an ancient evil to save their world."
Leisure Suit Larry in the Land of the Lounge Lizards,1987,Comedy,8,"Looking for a good time? Meet Larry. He's just turned 40, and he's still single. If you can get past the glow of his Grecian formula, you can see his hairline beginning to make a hasty                 "
Battle Chopper,1987,"Action, Sci-Fi",6.1,Add a Plot
Tower Toppler,1987,"Adventure, Fantasy",6.7,Eight dangerous towers must be conquered. Just Julius can do it.
Metal Gear,1987,"Action, Adventure, Sci-Fi",7.9,"After Gray Fox, FOX-HOUND's best agent, goes missing, rookie Solid Snake is sent to the South African fortress ""Outer Heaven"" to rescue him from terrorists armed with a nuclear-equipped bipedal tank."
Steel Gunner,1987,"Action, Crime",0,Add a Plot
Firebird,1987,NA,8.7,Add a Plot
Maniac Mansion,1987,"Adventure, Comedy, Mystery",8.3,"A meteor crashes into Dr. Fred Edison's front yard and takes control over him. When Fred kidnaps Sandy, a college teenager, her boyfriend Dave Miller and his friends plan to break into the mansion and save her."
Street Fighter,1987,Action,6.2,"Two skilled martial arts experts, Ryu and Ken, go out to fight against other fighters held on the streets in five countries and must also face off against two undisputed Muay Thai fighters from Thailand to become street fighter champion."
Police Quest: In Pursuit of the Death Angel,1987,"Crime, Mystery",8.1,"You control a regular police officer patrolling the city of Lytton, California who must perform his duties strictly by the book."
Pirates!,1987,Adventure,8.5,"A player takes on the role of pirate, privateer, or pirate hunter in the 16th, 17th and 18th centuries. Pirates is divided into mini-games with different skills and an overall map screen                 "
Double Dragon,1987,"Action, Family, Fantasy",7.3,"Martial arts siblings Billy and Jimmy Lee must battle a tough gang known as the Black Warriors in order to rescue Billy's girlfriend, Marian."
WWF Superstars,1987,Sport,7.4,"Hulk Hogan, The Ultimate Warrior, 'The Million Dollar Man' Ted DiBiase (non playable), Macho Man Randy Savage, The Honky Tonk Man, Andre the Giant (non playable), The Big Boss Man, and 'Hacksaw' Jim Duggan all battle to be champions."
Star Wars,1987,"Action, Adventure, Fantasy",7.5,"Luke Skywalker, a young farmer from the desert planet of Tattooine, must save Princess Leia from the evil Darth Vader."
Asteroids,1987,"Action, Sci-Fi",7.1,Add a Plot
Dragon Warrior II,1987,"Action, Adventure, Fantasy",7.3,An evil wizard named Hargon leads a raid on a castle that leaves the rest of the world speechless. It is now up to three warriors in the blood line of Lotto to rid the world of this new terror.
Pac-Mania,1987,"Action, Family",6.7,A re-imagined version of Pac-Man presented in cabinet projection and a feature that allows Pac-Man to jump.
Rambo,1987,"Action, Adventure",6.3,A Rambo video game based on Rambo: Part II for the NES.
Top Gun,1987,Action,5.2,"The video game that trains you to be a Naval Aviator, just like in the movie! Top Gun is the Game that does just that!"
Bases Loaded,1987,"Family, Sport",6.7,Add a Plot
Wizards & Warriors,1987,"Action, Adventure, Fantasy",7.2,"The evil wizard Malkil has gone mad and has started using his magic for evil. Brave knight Kuros, is summoned to venture through the deep forests of Elrond."
Centipede,1987,"Action, Adventure, Family",6.6,Add a Plot
After Burner,1987,Action,6.6,An arcade flight simulator that lets you (the player) pilot an F-14 Tomcat. You must destroy oncoming enemy aircraft's in order to advance through each level.
Thundercade,1987,"Action, Sci-Fi",6,Add a Plot
Galaga '88,1987,"Action, Adventure, Sci-Fi",7.6,Add a Plot
Shinobi,1987,"Action, Fantasy",7.5,"The Ninja children of the Iga clan were kidnapped by Zeed, a syndication of evil Ninjas and outlaws. Joe Musashi, a master of Ninjutsu amd other martial arts must penetrate single-handedly                 "
Rastan,1987,"Action, Adventure, Fantasy",7.2,A barbarian's adventure across varying terrain while encountering an assortment of mythological creatures and weapons. Pick up bonus items to increase your characters health or protection                 
Phantasy Star,1987,"Action, Adventure, Fantasy",7.4,"After her older brother dies, young Alis driven by his last words races to save her planet and solar system from a force of evil."
.38 Ambush Alley,1987,Action,0,You are at a police academy shooting cardboard targets.
Blue Thunder,1987,Action,4.4,Defend the city against terrorists with your high-tech helicopter. Based on the 1983 movie.
Hydrosub: 2021,1987,Action,0,Defend the Sea Dragon hydrosub from enemy submarines and sea creatures.
The Rescue of Pops Ghostly,1987,Action,6,Friendly suburban ghosts need you to help protect them from evil spirits that have moved in.
Sonic Fury,1987,Action,0,Enemy fighters attack your jet fighter while you are on a training mission.
1943: The Battle of Midway,1987,"Action, War",6.8,"In the midst of WWII, the Navy's best fighter pilot must destroy the Japanese air and sea squadrons."
After Burner II,1987,Action,6.8,Add a Plot
Super Hang-On,1987,Sport,6.5,The standard motorcycle video games were first based on this thrill ride of a retro racing effort went from console to arcade and still lives on today through emulation and re-releases.
Bulbo and the Lizard King,1987,"Adventure, Fantasy",0,Add a Plot
Rainbow Islands: The Story of Bubble Bobble 2,1987,"Adventure, Family",7.6,Add a Plot
Castlevania II: Simon's Quest,1987,"Action, Adventure, Fantasy",6.8,"Simon Belmont discovers that, even though he defeated Count Dracula in the original Castlevania, he is now under Dracula's curse and must collect Dracula's body parts and fight him again."
Operation Wolf,1987,Action,6.5,Operation Wolf is a one-player shooter video game made by Taito.
Twin Cobra,1987,"Action, Adventure",7.1,"Twin Cobra is a vertically scrolling shoot-em-up, You pilot the TC-17 Twin Cobra assault helicopter to fight the forces of Commander Anziga."
Saboteur II,1987,"Action, Adventure",8.2,Revenge-driven sequel to the classic Sabotuer video-game.
Arkanoid: Revenge of Doh,1987,Sci-Fi,7.5,The mysterious enemy known as DOH has returned to seek vengeance on the Vaus space vessel. The player must once again take control of the Vaus and overcome many challenges in order to destroy DOH once and for all.
How to Be a Complete Bastard,1987,NA,0,Add a Plot
Soko-Ban,1987,NA,7,"You are a construction worker, who must move a certain amount of boxes on different levels of a warehouse, to look for something."
"Space Quest, Chapter Two: Vohaul's Revenge",1987,"Adventure, Comedy, Sci-Fi",7.6,"Roger Wilco is transferred to Xenon of Station 4 and promoted to head janitor. When last we left Roger Wilco, he managed to pry the power of ultimate destruction from the hands of the                 "
R-Type,1987,"Action, Sci-Fi",7.3,A side-scrolling space-shooter featuring various power-ups and bio-mechanical enemies.
Top Speed,1987,Sport,7.8,"A driving game very similar to OutRun, except for the addition of the nitro boost button."
The Great Giana Sisters,1987,"Action, Adventure, Family",8.1,A side-scrolling platformer alarmingly similar to Super Mario Bros.
A.P.B.,1987,"Action, Comedy, Crime",5.4,A hectic Police driving game in you much catch a assortment of eccentric crooks.
"Garfield: Big, Fat, Hairy Deal",1987,Adventure,7.1,An adventure starring Garfield - Garfield is to rescue his girlfriend Arlene.
Spy vs Spy III: Arctic Antics,1987,Adventure,6.9,"More hijinks with the spies from MAD Magazine, this time set in the North Pole."
The Real Ghostbusters,1987,"Action, Fantasy, Sci-Fi",5.3,Video-game of the popular animated TV show.
Treasure Island,1987,Adventure,0,"As Jim Hawkins, search for pirate gold and for a way to outwit Long John Silver, a clever and cunning buccaneer."
The Curse of Sherwood,1987,"Adventure, Fantasy, History",5.7,Play as Friar Tuck in his mission to rescue Robin Hood and his men from the evil cult of Sagalia.
Indiana Jones in Revenge of the Ancients,1987,"Action, Adventure, Fantasy",5.2,Text adventure for the Commodore 64 with Indiana Jones getting into trouble in South America.
Joe Blade,1987,"Action, Adventure",4.9,Rescue world leaders from a crazed maniac in this shoot-em-up video game.
Shadowgate,1987,"Adventure, Fantasy",7.5,"The ""last of a great line of hero-kings"" is charged with the task of saving the world by defeating the Warlock Lord, who is attempting to summon up the demon Behemoth out of Hell."
The Last Ninja,1987,"Action, Adventure, Fantasy",8.3,"You are the last living member of your clan after they were brutally slaughtered. Now, you seek to exact revenge."
Spy Hunter II,1987,Action,4.1,Obtain secret spy weapons as you play as a secret spy.
International Karate Plus,1987,Sport,7.9,"International Karate +, often abbreviated as IK+, is a karate fighting."
Krakout,1987,"Action, Family",8.4,Add a Plot
U.F.O.,1987,Action,5.5,Add a Plot
Cairo Shootout,1987,Family,4.4,Add a Plot
Dropper,1987,Family,7.9,Add a Plot
Test Drive,1987,Sport,7.4,Add a Plot
Tiger Mission,1987,"Action, Adventure",7.4,Add a Plot
Scarab of Ra,1987,"Adventure, Mystery",8.1,Add a Plot
Heavy Barrel,1987,"Action, Adventure",7,"A top-down, vertically scrolling shoot-em-up."
Rupan sansei: Pandora no isan,1987,"Action, Adventure",0,"Clarice has been kidnapped and won't be set free till ""Pandora's Inheritance"" is handed over to her kidnappers. Lupin, Jigen, and Goemon rush their way in rescuing her."
